,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
192,1,YA,8,712,96,4,641,1,Reward1,0.01,incongruent,1
193,1,YA,9,712,1,4,458,1,Reward1,0.01,incongruent,0
194,1,YA,9,712,2,4,867,1,Reward1,0,incongruent,1
195,1,YA,9,712,3,4,456,1,Reward1,0.01,congruent,1
196,1,YA,9,712,4,4,574,1,Reward1,0.01,congruent,1
197,1,YA,9,712,5,4,445,1,Reward2,0.02,incongruent,0
198,1,YA,9,712,6,4,761,1,Reward1,0,congruent,0
199,1,YA,9,712,7,3,380,1,Reward2,0.02,incongruent,0
200,1,YA,9,712,8,4,448,1,Reward4,0.04,congruent,1
201,1,YA,9,712,9,3,646,1,Reward2,0.02,incongruent,1
202,1,YA,9,712,10,3,518,1,Reward2,0.02,incongruent,0
203,1,YA,9,712,11,4,429,1,Reward1,0.01,congruent,0
204,1,YA,9,712,12,3,485,1,Reward2,0.02,incongruent,1
205,1,YA,9,712,13,4,443,1,Reward4,0.04,congruent,0
206,1,YA,9,712,14,4,494,1,Reward2,0.02,congruent,1
207,1,YA,9,712,15,3,598,0,Reward1,0,incongruent,1
208,1,YA,9,712,16,4,855,0,Reward1,0,incongruent,0
209,1,YA,9,712,17,3,497,1,Reward4,0.04,congruent,0
210,1,YA,9,712,18,4,707,0,Reward2,0,incongruent,1
211,1,YA,9,712,19,3,399,1,Reward4,0.04,congruent,1
212,1,YA,9,712,20,4,468,1,Reward1,0.01,congruent,1
213,1,YA,9,712,21,3,456,0,Reward2,0,congruent,1
214,1,YA,9,712,22,3,491,1,Reward4,0.04,incongruent,0
215,1,YA,9,712,23,3,1192,1,Reward2,0,congruent,1
216,1,YA,9,712,24,4,383,1,Reward2,0.02,incongruent,0
217,1,YA,9,712,25,3,511,1,Reward1,0.01,incongruent,0
218,1,YA,9,712,26,4,448,0,Reward1,0,incongruent,1
219,1,YA,9,712,27,3,465,1,Reward4,0.04,incongruent,1
220,1,YA,9,712,28,3,449,1,Reward4,0.04,congruent,1
221,1,YA,9,712,29,4,350,1,Reward2,0.02,congruent,1
222,1,YA,9,712,30,4,454,1,Reward4,0.04,incongruent,0
223,1,YA,9,712,31,4,370,1,Reward2,0.02,incongruent,1
224,1,YA,9,712,32,3,491,1,Reward2,0.02,incongruent,0
225,1,YA,9,712,33,4,350,1,Reward4,0.04,congruent,1
226,1,YA,9,712,34,3,496,1,Reward4,0.04,incongruent,1
227,1,YA,9,712,35,3,685,1,Reward4,0.04,congruent,1
228,1,YA,9,712,36,4,742,0,Reward2,0,congruent,1
229,1,YA,9,712,37,4,407,1,Reward4,0.04,incongruent,1
230,1,YA,9,712,38,3,888,1,Reward4,0,incongruent,0
231,1,YA,9,712,39,3,408,1,Reward4,0.04,incongruent,1
232,1,YA,9,712,40,3,486,0,Reward4,0,incongruent,0
233,1,YA,9,712,41,3,528,1,Reward2,0.02,congruent,0
234,1,YA,9,712,42,3,472,1,Reward1,0.01,congruent,1
235,1,YA,9,712,43,3,420,1,Reward4,0.04,congruent,0
236,1,YA,9,712,44,3,609,1,Reward2,0.02,congruent,0
237,1,YA,9,712,45,3,551,1,Reward1,0.01,incongruent,1
238,1,YA,9,712,46,3,482,0,Reward1,0,incongruent,0
239,1,YA,9,712,47,3,438,1,Reward2,0.02,congruent,1
240,1,YA,9,712,48,4,445,1,Reward1,0.01,incongruent,0
241,1,YA,9,712,49,3,363,1,Reward2,0.02,incongruent,1
242,1,YA,9,712,50,4,534,0,Reward1,0,congruent,0
243,1,YA,9,712,51,4,575,0,Reward4,0,congruent,1
244,1,YA,9,712,52,3,455,1,Reward4,0.04,incongruent,0
245,1,YA,9,712,53,4,904,1,Reward2,0,incongruent,1
246,1,YA,9,712,54,3,881,0,Reward1,0,incongruent,1
247,1,YA,9,712,55,4,528,1,Reward1,0.01,congruent,1
248,1,YA,9,712,56,4,749,1,Reward1,0,congruent,0
249,1,YA,9,712,57,3,468,1,Reward4,0.04,congruent,0
250,1,YA,9,712,58,3,552,1,Reward1,0.01,incongruent,1
251,1,YA,9,712,59,4,452,1,Reward2,0.02,congruent,1
252,1,YA,9,712,60,3,707,0,Reward2,0,incongruent,0
253,1,YA,9,712,61,3,494,0,Reward4,0,congruent,1
254,1,YA,9,712,62,4,525,1,Reward4,0.04,congruent,0
255,1,YA,9,712,63,3,475,1,Reward1,0.01,congruent,1
256,1,YA,9,712,64,4,497,1,Reward2,0.02,congruent,0
257,1,YA,9,712,65,4,390,1,Reward2,0.02,congruent,0
258,1,YA,9,712,66,3,377,1,Reward1,0.01,congruent,1
259,1,YA,9,712,67,3,376,1,Reward1,0.01,incongruent,0
260,1,YA,9,712,68,3,448,1,Reward2,0.02,congruent,0
261,1,YA,9,712,69,4,614,0,Reward2,0,congruent,1
262,1,YA,9,712,70,3,509,1,Reward2,0.02,congruent,0
263,1,YA,9,712,71,3,577,1,Reward4,0.04,incongruent,0
264,1,YA,9,712,72,4,909,1,Reward2,0,incongruent,1
265,1,YA,9,712,73,4,492,1,Reward4,0.04,incongruent,1
266,1,YA,9,712,74,4,463,1,Reward2,0.02,incongruent,1
267,1,YA,9,712,75,4,484,1,Reward4,0.04,incongruent,1
268,1,YA,9,712,76,4,545,1,Reward1,0.01,congruent,0
